city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
saint-joseph,49.5344534,-1.529802,Clouds,54.16,82,1002,17.27
bethel,60.7922222,-161.7558333,Rain,35.94,100,1004,5.75
kamenka,53.1850012,44.0529066,Clouds,35.22,82,1022,12.35
hare bay,48.8564255,-54.0068259,Rain,37.29,95,995,16.93
alice springs,-23.6983884,133.8812885,Clouds,80.15,36,1012,21.85
parana,-31.7330145,-60.5298511,Clouds,78.1,40,1013,13.2
filimonovo,54.713123,60.078136,Clouds,20.59,93,1024,4.63
amahai,-3.3081717,129.0010636,Clouds,75.31,85,1010,3.58
meulaboh,4.1481951,96.1339107,Clouds,74.62,90,1009,3.94
sobolevo,55.5204405,38.7062515,Clouds,42.75,96,1016,7.58
naze,5.4519997,7.0566745,Clouds,76.28,91,1012,4.12
mahbubabad,38.383868,45.6487571,Clouds,39.85,68,1018,0.72
djambala,-2.546349,14.755819,Rain,68.0,92,1013,1.61
cairns,-16.9206657,145.7721854,Clouds,81.82,72,1012,9.22
port alfred,-33.5981844,26.8914772,Clouds,66.06,91,1011,4.23
vostok,-10.0620702,-152.31258164405466,Clouds,79.9,72,1014,15.05
mandalgovi,45.7630435,106.2704145,Clouds,33.49,35,1016,2.77
laguna,-28.4837443,-48.7816572,Rain,62.17,85,1018,9.26
izumo,35.3668891,132.7548827,Fog,44.49,100,1025,6.91
mweka,-4.8476882,21.5612,Clouds,68.04,99,1012,1.32
roald,62.5838286,6.1241844,Clouds,48.29,81,992,1.14
lastoursville,-0.8102497,12.7311454,Clouds,72.14,98,1012,1.83
golden,39.7546349,-105.22058,Clear,66.61,26,1012,8.01
vredendal,-31.679444,18.492222,Clear,56.86,90,1016,6.93
louisbourg,45.9234791,-59.9642959,Clouds,40.77,80,1012,13.0
amderma,69.7522076,61.662267280204404,Clouds,21.83,81,1011,10.09
piracuruca,-3.9304804,-41.7150099,Clouds,80.53,64,1012,7.29
bengkulu,-3.7922858,102.2623797,Rain,75.61,91,1009,3.58
kushiro,42.9849503,144.3820491,Clouds,41.23,77,1021,1.43
cockburn town,21.4607723,-71.1399956,Clear,81.63,73,1009,13.78
lindas,57.5244861,24.7279962,Clouds,50.99,97,1010,9.53
carnarvon,-24.8826131,113.6576486,Clear,65.55,67,1013,9.01
grindavik,63.844239,-22.4317498,Clouds,41.32,81,981,24.16
labuhan,-6.891973,112.9897177,Clouds,79.0,80,1009,1.52
raudeberg,61.9849433,5.13778,Clouds,53.01,69,992,9.01
la rioja,-29.4127411,-66.8558795,Clouds,88.81,24,1005,12.28
namatanai,-3.6641739,152.4407285,Clouds,83.26,75,1011,4.29
yerbogachen,61.275021,108.009712,Snow,15.24,93,1016,9.75
jonkoping,57.7825634,14.165719,Clouds,51.53,93,1002,10.36
saint-gabriel,46.31316395,-73.38079209434733,Clear,37.06,60,1038,7.11
koumac,-20.5613596,164.2811715,Clouds,77.45,80,1010,17.38
neuquen,-38.9519679,-68.0591741,Clear,85.89,20,1007,5.75
fort dodge,42.5044017,-94.1910044,Clouds,57.33,50,1024,17.02
aksu,54.846351,50.8055345,Clouds,34.59,93,1021,11.72
meadow lake,54.13026,-108.435059,Clouds,12.56,87,1029,5.1
atikokan,48.762526,-91.624603,Clouds,36.12,73,1028,12.62
tsihombe,-25.318547,45.484057,Clear,73.17,86,1012,2.59
storsteinnes,69.2408464,19.234144,Clouds,20.05,88,1009,6.78
weinan,34.5037437,109.4572848,Clouds,50.99,93,1019,5.14
vestmannaeyjar,63.42704985,-20.269317184750797,Clouds,42.64,73,980,8.05
okhotsk,59.3643921,143.2410816,Clear,1.36,73,1005,18.99
arman,28.3724085,83.41134304992792,Clouds,45.95,67,1019,5.35
acapulco,16.8680495,-99.8940182,Clouds,83.5,75,1011,8.21
